group,experiment,split,metric,value,resolution_or_scope,source,notes
student,S2,validation,best_validation_dice,0.8505887648649707,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/S2/summary.json,iteration=12000
student,S2,test,test_dice,0.8483414130540559,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/S2/summary.json,iteration=12000
student,S3,validation,best_validation_dice,0.8520719688384748,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/S3/summary.json,iteration=26600
student,S3,test,test_dice,0.8548721257324698,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/S3/summary.json,iteration=26600
student,X3_best,validation,diagnostic_best_validation_dice,0.8691817642919956,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,iteration=22400
student,X3_best,test,test_dice_recomputed_256,0.8593771496996625,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,iteration=22400
student,X3_final,validation,final_validation_dice,0.8648778132111233,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,iteration=40000
student,X3_final,test,test_dice_recomputed_256,0.8644590101163069,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,iteration=40000
student,X4_best,validation,diagnostic_best_validation_dice,0.8707898054604148,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,iteration=24000
student,X4_best,test,test_dice_recomputed_256,0.8704142092801437,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,iteration=24000
student,X4_best,test,test_dice_recomputed_original_size,0.8701767457620935,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,iteration=24000
student,X4_final,validation,final_validation_dice,0.8673747393420984,256 unless original_size is stated,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,iteration=40000
sam3_direct,sam3_ep27_direct_text_only,test,direct_dice,0.8682181161139423,1008 if not explicitly marked s256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch27_category_merged.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_ep27_direct_text_only,test,direct_iou,0.7922036412810095,1008 if not explicitly marked s256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch27_category_merged.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_ep27_direct_text_only,test,nonempty_rate,0.9961538461538462,1008 if not explicitly marked s256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch27_category_merged.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_ep27_direct_text_only,test,valid_query_count_mean,1.146153846153846,1008 if not explicitly marked s256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch27_category_merged.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_epoch50_direct_text_only,test,direct_dice,0.8749861649724601,1008 if not explicitly marked s256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_epoch50_direct_text_only,test,direct_iou,0.7990372575050375,1008 if not explicitly marked s256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_epoch50_direct_text_only,test,nonempty_rate,1.0,1008 if not explicitly marked s256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_epoch50_direct_text_only,test,valid_query_count_mean,1.0076923076923077,1008 if not explicitly marked s256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_epoch50_direct_text_only_s256,test,direct_dice,0.8680087189369691,256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged_s256.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_epoch50_direct_text_only_s256,test,direct_iou,0.7894359026094961,256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged_s256.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_epoch50_direct_text_only_s256,test,nonempty_rate,1.0,256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged_s256.json,text/category only; no image prompt; no route propagation; actual category skin lesion
sam3_direct,sam3_epoch50_direct_text_only_s256,test,valid_query_count_mean,1.103846153846154,256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged_s256.json,text/category only; no image prompt; no route propagation; actual category skin lesion
b7_selector,round1_base_x3_best,test,selected_gt_dice_evaluation_only,0.76154897369253,selector/evaluation-only,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,not standalone student-mask Dice
b7_selector,round1_base_x3_best,test,oracle_gt_dice_evaluation_only,0.7881884575958648,selector/evaluation-only,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,not standalone student-mask Dice
b7_selector,round1_base_x3_best,test,coverage,1.0,selector/evaluation-only,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,not standalone student-mask Dice
b7_selector,round2a_epoch27_x3_best,test,selected_gt_dice_evaluation_only,0.861104218664103,selector/evaluation-only,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,not standalone student-mask Dice
b7_selector,round2a_epoch27_x3_best,test,oracle_gt_dice_evaluation_only,0.8788119280521406,selector/evaluation-only,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,not standalone student-mask Dice
b7_selector,round2a_epoch27_x3_best,test,coverage,1.0,selector/evaluation-only,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,not standalone student-mask Dice
b7_selector,round2a_epoch27_x4_best,test,selected_gt_dice_evaluation_only,0.8603392616808523,selector/evaluation-only,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,not standalone student-mask Dice
b7_selector,round2a_epoch27_x4_best,test,oracle_gt_dice_evaluation_only,0.8788119280521406,selector/evaluation-only,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,not standalone student-mask Dice
b7_selector,round2a_epoch27_x4_best,test,coverage,1.0,selector/evaluation-only,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,not standalone student-mask Dice
base_sam3_knn,target_pooling,test,b0.dice,0.7150385254498798,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8846397582139027; q_cycle=0.8174949596165659
base_sam3_knn,target_pooling,test,b1.dice,0.7100542713449048,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8861798543611661; q_cycle=0.8466345827245179
base_sam3_knn,target_pooling,test,b2.dice,0.716470160023335,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8933120743317615; q_cycle=0.8550511564632772
base_sam3_knn,target_pooling,test,b3.dice,0.7224346666521553,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8952216955266395; q_cycle=0.8452073497164594
base_sam3_knn,target_pooling,test,b4.dice,0.7245795472748956,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8946368642922705; q_cycle=0.850171597832813
base_sam3_knn,target_pooling,test,b5.dice,0.7274140650616302,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8948235842590189; q_cycle=0.8572805557448836
base_sam3_knn,target_pooling,test,b6.dice,0.72815188697476,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8963433968253429; q_cycle=0.8457828599205912
base_sam3_knn,patch_correspondence,test,b0.dice,0.6818395831847883,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8775985490283102; q_cycle=0.799741870930216
base_sam3_knn,patch_correspondence,test,b1.dice,0.6901705686684575,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8754698348605681; q_cycle=0.834068316382569
base_sam3_knn,patch_correspondence,test,b2.dice,0.689700969543191,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8791851101528325; q_cycle=0.8285487920365939
base_sam3_knn,patch_correspondence,test,b3.dice,0.6901008177256065,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8784430489493071; q_cycle=0.8254467030836928
base_sam3_knn,patch_correspondence,test,b4.dice,0.6852994763183511,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8757602819657971; q_cycle=0.8372556272190225
base_sam3_knn,patch_correspondence,test,b5.dice,0.6889501894649874,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8795898359294182; q_cycle=0.8341635347001117
base_sam3_knn,patch_correspondence,test,b6.dice,0.6745520225567225,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=260; median_dice=0.8732156578097635; q_cycle=0.8397086384771578
base_sam3_knn,combined,test,b0.dice,0.6984390543173341,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=520; median_dice=0.8795151517931024; q_cycle=0.808618415273391
base_sam3_knn,combined,test,b1.dice,0.7001124200066811,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=520; median_dice=0.8792356761770105; q_cycle=0.8403514495535435
base_sam3_knn,combined,test,b2.dice,0.703085564783263,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=520; median_dice=0.8863108304446357; q_cycle=0.8417999742499356
base_sam3_knn,combined,test,b3.dice,0.7062677421888809,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=520; median_dice=0.8854436420746014; q_cycle=0.8353270264000761
base_sam3_knn,combined,test,b4.dice,0.7049395117966233,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=520; median_dice=0.8886412495911511; q_cycle=0.8437136125259177
base_sam3_knn,combined,test,b5.dice,0.7081821272633089,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=520; median_dice=0.8872971618024068; q_cycle=0.8457220452224977
base_sam3_knn,combined,test,b6.dice,0.7013519547657412,256; base SAM3; no LoRA,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_test_bridge_b0_b6.json,n=520; median_dice=0.8874067048008287; q_cycle=0.8427457491988745
