source,line,command_or_template,notes
scripts/train_sam3_lora_kvasir_e50.py,1380,python train_sam3_lora_native.py --config configs/full_lora_config.yaml --device 0 1,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.py,1383,python train_sam3_lora_native.py --config configs/full_lora_config.yaml --device 0 2 3,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.py,1386,python train_sam3_lora_native.py --config configs/full_lora_config.yaml --device 0 1 2 3,auto-extracted; verify shell variables for exact rerun
scripts/summarize_c0_256_round2b_e33_test_bridges.py,82,"""```bash"",",auto-extracted; verify shell variables for exact rerun
scripts/summarize_c0_256_round2b_e33_test_bridges.py,84,"""DEVICE=0 bash scripts/run_c0_256_round2b_e33_test_bridges_only.sh"",",auto-extracted; verify shell variables for exact rerun
scripts/run_mask_visual_lambda_scan.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_mask_visual_lambda_scan.sh,8,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_1pct_scsam_synfoc_baselines.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_1pct_scsam_synfoc_baselines.sh,5,PY=/home/violet/anaconda3/envs/mkunet_mamba/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_t20_synfoc_baseline.py,22,"parser.add_argument(""--python"", default=sys.executable)",auto-extracted; verify shell variables for exact rerun
scripts/run_t20_synfoc_baseline.py,39,"args.python,",auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_1pct_plus_hq_pseudo_after_train.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_1pct_plus_hq_pseudo_after_train.sh,6,SAM3_PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_hq_finite_guard_lr025_eval1_after_train.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_hq_finite_guard_lr025_eval1_after_train.sh,6,SAM3_PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_b7_eval_forward.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_b7_eval_forward.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_post_t24.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_post_t24.sh,9,PY=/home/violet/anaconda3/envs/mkunet_mamba/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_post_t24.sh,10,SAM3_PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2_x4_b7_closeout.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2_x4_b7_closeout.sh,9,SAMPY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2_x4_b7_closeout.sh,10,MKPY=/home/violet/anaconda3/envs/mkunet_mamba/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2_x4_b7_closeout.sh,36,"CUDA_VISIBLE_DEVICES=$gpu ""$MKPY"" scripts/export_t25_student_predictions.py --run-dir ""$PHASE/students/X4"" --checkpoint ""$checkpoint"" --output-root ""$output"" --splits train validation test",auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2_x4_b7_closeout.sh,57,"""$SAMPY"" scripts/build_c0_256_b7_lora_manifest.py --quality-root ""$QROOT"" --student-predictions ""$predictions/student_predictions_${split}.jsonl"" --split ""$split"" --modes ""${MODES[@]}"" --min-bridge 0 --max-bridge 6 --min-b7 0 --canvas 256 --output ""$B7/${selector}_${split}.jsonl"" --summary ""$B7/${selector}_${split}.summary.json"" 2>&1 | tee -a ""$LOG""",auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2_x4_b7_closeout.sh,68,"""$SAMPY"" scripts/summarize_c0_256_round2_b7_closeout.py --root ""$B7"" --output ""$B7/x3_x4_e33_b7_comparison.json"" 2>&1 | tee -a ""$LOG""",auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2c_lesion_anchor_validation.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2c_lesion_anchor_validation.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_triple_visual_qwen_scan.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_triple_visual_qwen_scan.sh,8,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_b7_lora_gpu0_aux.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_b7_lora_gpu0_aux.sh,11,"bash scripts/run_c0_256_b7_lora_gpu0_aux.sh >> ""$LOG"" 2>&1",auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2a_e33_train_propagation.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2a_e33_train_propagation.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2d_anchor_only_validation.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2d_anchor_only_validation.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/summarize_c0_256_round2b_factorial.py,204,"""```bash"",",auto-extracted; verify shell variables for exact rerun
scripts/summarize_c0_256_round2b_factorial.py,206,"""DEVICE=0 bash scripts/run_c0_256_round2b_topology_refresh_factorial.sh"",",auto-extracted; verify shell variables for exact rerun
scripts/run_propagation_quality_main_modes.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_propagation_quality_main_modes.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_safe_v2_after_train.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_safe_v2_after_train.sh,6,SAM3_PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2b_topology_refresh_factorial.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2b_topology_refresh_factorial.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_routeco_v1_eval_official_validation.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_routeco_v1_eval_official_validation.sh,7,"PY=""${PY:-/home/violet/anaconda3/envs/sam3/bin/python}""",auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_lora_e33_full_eval_gpu0.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_lora_e33_full_eval_gpu0.sh,15,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_lora_e07_val_combined_gpu1.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_lora_e07_val_combined_gpu1.sh,14,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_hq_finite_guard_after_train.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_hq_finite_guard_after_train.sh,6,SAM3_PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/queue_clinicdb_external_pairwise_vitb256.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/queue_clinicdb_external_pairwise_vitb256.sh,14,"bash scripts/run_clinicdb_external_pairwise_vitb256.sh >> ""$LOG"" 2>&1",auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_orchestrator.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_orchestrator.sh,9,PY=/home/violet/anaconda3/envs/mkunet_mamba/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_orchestrator.sh,30,"setsid nohup ""$@"" > ""$out"" 2>&1 < /dev/null &",auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_full_ft_repro_then_hq.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_full_ft_repro_then_hq.sh,7,SAM3_PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2a_b7_calibration.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2a_b7_calibration.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_eval_ft20.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_eval_ft20.sh,5,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_hq_finite_guard_lr025_after_train.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_hq_finite_guard_lr025_after_train.sh,6,SAM3_PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_knn_vitb256_lora_p491_e20.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_knn_vitb256_lora_p491_e20.sh,8,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_student_exports.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_student_exports.sh,6,PY=/home/violet/anaconda3/envs/mkunet_mamba/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_feature_knn_routes.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_feature_knn_routes.sh,6,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_sam3knn_s256_train_and_pseudo.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_sam3knn_s256_train_and_pseudo.sh,11,bash scripts/run_c0_256_sam3knn_s256_train_and_pseudo.sh,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_routes.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_routes.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/analyze_c3.py,3,Usage: python scripts/analyze_c3.py <eval_dir> [out_json],auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_b7_lora_e45_e50_test.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_b7_lora_e45_e50_test.sh,11,"bash scripts/run_c0_256_b7_lora_e45_e50_test.sh >> ""$LOG"" 2>&1",auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_b7_validation_eval_forward.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_b7_validation_eval_forward.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.pre_direct_dice.py,15,python train_sam3_lora_native.py --config configs/full_lora_config.yaml,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.pre_direct_dice.py,1241,"print(f""   python validate_sam3_lora.py \\"")",auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.pre_direct_dice.py,1306,python train_sam3_lora_native.py --config configs/full_lora_config.yaml,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.pre_direct_dice.py,1309,python train_sam3_lora_native.py --config configs/full_lora_config.yaml --device 1,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.pre_direct_dice.py,1312,python train_sam3_lora_native.py --config configs/full_lora_config.yaml --device 0 1,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.pre_direct_dice.py,1315,python train_sam3_lora_native.py --config configs/full_lora_config.yaml --device 0 2 3,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.pre_direct_dice.py,1318,python train_sam3_lora_native.py --config configs/full_lora_config.yaml --device 0 1 2 3,auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_stage2_4.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_stage2_4.sh,9,PY=/home/violet/anaconda3/envs/mkunet_mamba/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round3_post_train.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round3_post_train.sh,17,bash scripts/run_c0_256_round3_tracker.sh validate,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round3_post_train.sh,18,bash scripts/run_c0_256_round3_tracker.sh test,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round3_post_train.sh,19,/home/violet/anaconda3/envs/sam3/bin/python scripts/finalize_round3_report.py,auto-extracted; verify shell variables for exact rerun
scripts/analyze_c3_freeze.py,4,"python scripts/analyze_c3_freeze.py <val_eval_dir> <rules_out.json> [--taus 0.80,0.85,0.90]",auto-extracted; verify shell variables for exact rerun
scripts/analyze_c3_freeze.py,5,python scripts/analyze_c3_freeze.py <val_eval_dir> <rules_out.json> --apply-test <test_eval_dir> <test_report_out.json>,auto-extracted; verify shell variables for exact rerun
scripts/run_eval_ft1pct_pq_router.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_eval_ft1pct_pq_router.sh,6,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2b_e33_test_bridges_only.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2b_e33_test_bridges_only.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_t19_scsam_baseline.py,23,"parser.add_argument(""--python"", default=sys.executable)",auto-extracted; verify shell variables for exact rerun
scripts/run_t19_scsam_baseline.py,39,"args.python,",auto-extracted; verify shell variables for exact rerun
scripts/run_routeco_v1_train.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_routeco_v1_train.sh,9,"PY=""${PY:-/home/violet/anaconda3/envs/sam3/bin/python}""",auto-extracted; verify shell variables for exact rerun
scripts/run_routeco_v1_eval_validation.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_routeco_v1_eval_validation.sh,7,"PY=""${PY:-/home/violet/anaconda3/envs/sam3/bin/python}""",auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_pre_t24.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_phase1_pre_t24.sh,6,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_sam3knn_s256_train_target_gpu0.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_sam3knn_s256_train_target_gpu0.sh,11,bash scripts/run_c0_256_sam3knn_s256_train_target_gpu0.sh,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_max6_all_models.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_max6_all_models.sh,7,SAM3_PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_knn_imr_s256.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_knn_imr_s256.sh,13,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_original_visual_lambda_scan.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_original_visual_lambda_scan.sh,8,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_clinicdb_external_pairwise_vitb256.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_clinicdb_external_pairwise_vitb256.sh,6,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_knn_vitb256.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_knn_vitb256.sh,8,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/analyze_consensus.py,3,Zero new inference. Usage: python scripts/analyze_consensus.py <mode_dir> [out_json],auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_knn_sam3enc.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_knn_sam3enc.sh,8,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_anchor_conditioned_routes.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_stage1_anchor_conditioned_routes.sh,5,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_safe_v1_after_train.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_kvasir_safe_v1_after_train.sh,6,SAM3_PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_sam3knn_s256_b0_b6_lora_e50.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_sam3knn_s256_b0_b6_lora_e50.sh,12,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_b7_lora_e45_e50_test.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_b7_lora_e45_e50_test.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_validation.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_validation.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round2a_pipeline.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round2a_pipeline.sh,9,MKPY=/home/violet/anaconda3/envs/mkunet_mamba/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round2a_pipeline.sh,16,"DEVICE=0 bash scripts/run_c0_256_round2a_e33_train_propagation.sh >> ""$PHASE/nohup_train_propagation.log"" 2>&1",auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round2a_pipeline.sh,22,"DEVICE=0 bash scripts/run_c0_256_round2a_e33_train_propagation.sh >> ""$PHASE/nohup_train_propagation.log"" 2>&1",auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round2a_pipeline.sh,36,"if DEVICE=0 bash scripts/run_c0_256_round2a_build_pool_and_x4.sh >> ""$PHASE/x4_pipeline.log"" 2>&1; then",auto-extracted; verify shell variables for exact rerun
scripts/supervise_c0_256_round2a_pipeline.sh,46,"CUDA_VISIBLE_DEVICES=0 ""$MKPY"" scripts/eval_c0_256_round2a_x3_x4.py --x3-run work/rerun_c0_256_sam3knn_s256_base/students/X3 --x4-run ""$PHASE/students/X4"" --output ""$PHASE/x3_vs_x4.json"" >> ""$PHASE/x3_vs_x4.log"" 2>&1",auto-extracted; verify shell variables for exact rerun
scripts/run_method_ladder.py,67,"cfg.setdefault(""sam3_python"", sys.executable)",auto-extracted; verify shell variables for exact rerun
scripts/run_method_ladder.py,68,"cfg.setdefault(""student_python"", sys.executable)",auto-extracted; verify shell variables for exact rerun
scripts/run_method_ladder.py,111,"sam3_py = cfg[""sam3_python""]",auto-extracted; verify shell variables for exact rerun
scripts/run_method_ladder.py,112,"student_py = cfg[""student_python""]",auto-extracted; verify shell variables for exact rerun
scripts/run_method_ladder.py,142,"""--python"", student_py,",auto-extracted; verify shell variables for exact rerun
scripts/run_method_ladder.py,152,"""--python"", student_py,",auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_b7_lora_gpu0_aux.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_b7_lora_gpu0_aux.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round3_tracker.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round3_tracker.sh,4,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_route_selector_vitb256.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_route_selector_vitb256.sh,8,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_routeco_v1_prepare.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_routeco_v1_prepare.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_round2_eval.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_round2_eval.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_train_and_pseudo.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_train_and_pseudo.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_train_and_pseudo.sh,8,MKPY=/home/violet/anaconda3/envs/mkunet_mamba/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_train_and_pseudo.sh,51,"""$MKPY"" scripts/select_phase1_mainline_pseudo568.py --quality-root ""$ROOT"" --min-bridge 0 --max-bridge 6 --output ""$PHASE/pseudo_manifest_original_b0_b6.jsonl"" >> ""$LOG"" 2>&1",auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_train_and_pseudo.sh,56,"""$MKPY"" scripts/prepare_phase1_s3_consensus.py --original-manifest ""$PHASE/pseudo_manifest_original_b0_b6.jsonl"" --quality-root ""$ROOT"" --min-bridge 0 --max-bridge 6 --output-root ""$PHASE/S3_consensus_b0_b6"" >> ""$LOG"" 2>&1",auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_train_and_pseudo.sh,64,"""$MKPY"" scripts/select_phase1_mainline_pseudo568.py --quality-root ""$ROOT"" --min-bridge 3 --max-bridge 6 --output ""$PHASE/pseudo_manifest_original_b3_b6_control.jsonl"" >> ""$LOG"" 2>&1",auto-extracted; verify shell variables for exact rerun
scripts/run_ft3ep_lora_test_eval.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_ft3ep_lora_test_eval.sh,11,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_audit_x3.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_sam3knn_s256_audit_x3.sh,6,PY=/home/violet/anaconda3/envs/mkunet_mamba/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2a_build_pool_and_x4.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_c0_256_round2a_build_pool_and_x4.sh,7,SAMPY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
